name,contact_name,phone_number,email,address
Supplier1,Contact1,123-123-1210,supplier1@example.com,Supplier Address 1
Supplier2,Contact2,123-123-1220,supplier2@example.com,Supplier Address 2
Supplier3,Contact3,123-123-1230,supplier3@example.com,Supplier Address 3
Supplier4,Contact4,123-123-1240,supplier4@example.com,Supplier Address 4
Supplier5,Contact5,123-123-1250,supplier5@example.com,Supplier Address 5
Supplier6,Contact6,123-123-1260,supplier6@example.com,Supplier Address 6
Supplier7,Contact7,123-123-1270,supplier7@example.com,Supplier Address 7
Supplier8,Contact8,123-123-1280,supplier8@example.com,Supplier Address 8
Supplier9,Contact9,123-123-1290,supplier9@example.com,Supplier Address 9
Supplier10,Contact10,123-123-12100,supplier10@example.com,Supplier Address 10
