username,created_at,wishlist_product_name
john64,2024-03-14 02:34:50.100867,Stepper Motor Kit
john64,2024-03-14 02:34:50.100867,Stepper Motor Kit
john64,2024-03-14 02:34:50.100867,Stepper Motor Kit
john64,2024-03-14 02:34:50.100867,Stepper Motor Kit
john64,2024-03-14 02:34:50.100867,Stepper Motor Kit
john64,2024-03-14 02:34:50.100867,Stepper Motor Kit
john64,2024-03-14 02:34:50.100867,Stepper Motor Kit
john64,2024-03-14 02:34:50.100867,Stepper Motor Kit
john64,2024-03-14 02:34:50.100867,Stepper Motor Kit
kperez,2024-02-27 01:53:38.207584,Sensor Module Set
kperez,2024-02-27 01:53:38.207584,Sensor Module Set
kperez,2024-02-27 01:53:38.207584,Sensor Module Set
kperez,2024-02-27 01:53:38.207584,Sensor Module Set
qstone,2024-05-15 10:06:42.066182,Battery Holder Pack
qstone,2024-05-15 10:06:42.066182,Battery Holder Pack
qstone,2024-05-15 10:06:42.066182,Battery Holder Pack
qstone,2024-05-15 10:06:42.066182,Battery Holder Pack
qstone,2024-05-15 10:06:42.066182,Battery Holder Pack
qstone,2024-05-15 10:06:42.066182,Battery Holder Pack
qstone,2024-05-15 10:06:42.066182,Battery Holder Pack
qstone,2024-05-15 10:06:42.066182,Battery Holder Pack
qstone,2024-05-15 10:06:42.066182,Battery Holder Pack
qstone,2024-05-15 10:06:42.066182,Battery Holder Pack
grossfrederick,2024-02-12 15:16:36.828463,Breadboard Set
grossfrederick,2024-02-12 15:16:36.828463,Breadboard Set
grossfrederick,2024-02-12 15:16:36.828463,Breadboard Set
grossfrederick,2024-02-12 15:16:36.828463,Breadboard Set
grossfrederick,2024-02-12 15:16:36.828463,Breadboard Set
kyle33,2024-02-22 03:40:00.031479,Resistor Kit
kyle33,2024-02-22 03:40:00.031479,Resistor Kit
allisonrojas,2024-04-12 08:57:36.021743,Multimeter
allisonrojas,2024-04-12 08:57:36.021743,Multimeter
allisonrojas,2024-04-12 08:57:36.021743,Multimeter
allisonrojas,2024-04-12 08:57:36.021743,Multimeter
allisonrojas,2024-04-12 08:57:36.021743,Multimeter
allisonrojas,2024-04-12 08:57:36.021743,Multimeter
allisonrojas,2024-04-12 08:57:36.021743,Multimeter
allisonrojas,2024-04-12 08:57:36.021743,Multimeter
allisonrojas,2024-04-12 08:57:36.021743,Multimeter
allisonrojas,2024-04-12 08:57:36.021743,Multimeter
hallrebecca,2024-05-23 08:50:29.749361,Prototype Shield
hallrebecca,2024-05-23 08:50:29.749361,Prototype Shield
hallrebecca,2024-05-23 08:50:29.749361,Prototype Shield
evansdana,2024-03-21 10:03:13.599601,Jumper Wires Pack
evansdana,2024-03-21 10:03:13.599601,Jumper Wires Pack
evansdana,2024-03-21 10:03:13.599601,Jumper Wires Pack
evansdana,2024-03-21 10:03:13.599601,Jumper Wires Pack
evansdana,2024-03-21 10:03:13.599601,Jumper Wires Pack
evansdana,2024-03-21 10:03:13.599601,Jumper Wires Pack
evansdana,2024-03-21 10:03:13.599601,Jumper Wires Pack
veronica01,2024-05-08 06:44:21.364422,Arduino Starter Kit
veronica01,2024-05-08 06:44:21.364422,Arduino Starter Kit
awilliams,2024-05-24 10:22:21.371486,Battery Holder Pack
awilliams,2024-05-24 10:22:21.371486,Battery Holder Pack
awilliams,2024-05-24 10:22:21.371486,Battery Holder Pack
awilliams,2024-05-24 10:22:21.371486,Battery Holder Pack
awilliams,2024-05-24 10:22:21.371486,Battery Holder Pack
awilliams,2024-05-24 10:22:21.371486,Battery Holder Pack
awilliams,2024-05-24 10:22:21.371486,Battery Holder Pack
awilliams,2024-05-24 10:22:21.371486,Battery Holder Pack
awilliams,2024-05-24 10:22:21.371486,Battery Holder Pack
awilliams,2024-05-24 10:22:21.371486,Battery Holder Pack
